"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US36083052102","Census Tract 521.02, Rensselaer County, New York","1525","1503","1484","5","1","7","0","6","22","16","9","3","2","0","2","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052103","Census Tract 521.03, Rensselaer County, New York","1880","1845","1829","2","3","3","0","8","35","33","11","15","5","0","1","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052201","Census Tract 522.01, Rensselaer County, New York","4530","4483","4428","15","5","20","0","15","47","47","20","15","7","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052203","Census Tract 522.03, Rensselaer County, New York","6000","5922","5844","22","10","35","1","10","78","71","25","27","18","0","0","0","0","0","0","0","0","0","1","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052204","Census Tract 522.04, Rensselaer County, New York","2530","2511","2483","11","2","10","0","5","19","19","10","6","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052301","Census Tract 523.01, Rensselaer County, New York","3869","3809","3599","114","4","84","0","8","60","57","9","20","25","0","2","0","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052303","Census Tract 523.03, Rensselaer County, New York","1227","1218","1190","5","4","14","0","5","9","9","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052304","Census Tract 523.04, Rensselaer County, New York","6979","6900","6732","84","12","56","2","14","79","74","30","15","15","1","8","0","0","0","0","0","1","3","0","0","1","4","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052402","Census Tract 524.02, Rensselaer County, New York","2205","2196","2118","23","2","48","0","5","9","9","3","0","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052403","Census Tract 524.03, Rensselaer County, New York","6927","6765","6252","275","15","200","0","23","162","149","81","9","26","2","10","2","1","0","2","1","0","3","1","11","0","13","12","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052404","Census Tract 524.04, Rensselaer County, New York","7341","7200","6673","217","8","275","1","26","141","129","47","30","27","2","7","4","1","1","3","0","0","0","0","5","2","12","6","0","0","1","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052501","Census Tract 525.01, Rensselaer County, New York","6290","6189","6068","46","5","39","0","31","101","92","26","31","27","0","6","0","1","0","0","0","0","0","1","0","0","9","7","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052502","Census Tract 525.02, Rensselaer County, New York","4967","4908","4803","45","11","43","1","5","59","57","20","17","12","0","3","0","0","0","1","1","0","0","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052503","Census Tract 525.03, Rensselaer County, New York","1473","1460","1429","19","0","4","0","8","13","13","6","0","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052601","Census Tract 526.01, Rensselaer County, New York","3720","3676","3599","26","8","29","0","14","44","41","10","13","12","1","2","2","0","0","0","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052602","Census Tract 526.02, Rensselaer County, New York","1133","1108","1092","12","1","2","0","1","25","21","3","11","3","0","1","2","0","0","0","0","0","1","0","0","0","4","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36083052603","Census Tract 526.03, Rensselaer County, New York","2903","2858","2765","31","8","33","1","20","45","38","18","12","3","2","2","0","0","0","1","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085000300","Census Tract 3, Richmond County, New York","1927","1852","1073","376","10","254","0","139","75","67","16","4","13","0","14","2","0","1","6","4","0","0","0","7","0","7","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085000600","Census Tract 6, Richmond County, New York","2408","2351","1802","188","6","199","1","155","57","48","8","1","9","0","14","7","1","1","4","0","0","2","0","1","0","9","1","0","0","1","0","0","1","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085000700","Census Tract 7, Richmond County, New York","4915","4587","1522","2453","52","200","1","359","328","292","92","6","17","2","57","39","13","2","45","0","0","13","0","4","2","35","24","2","1","2","0","2","0","0","0","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085000800","Census Tract 8, Richmond County, New York","5583","5395","3667","311","9","950","3","455","188","177","33","14","41","0","50","5","5","0","11","1","0","0","2","8","7","9","5","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"1400000US36085000900","Census Tract 9, Richmond County, New York","2112","1970","746","902","18","101","0","203","142","126","36","4","7","0","29","17","8","1","21","0","0","1","0","2","0","16","11","1","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
