"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier"
"1400000US36103158309","Census Tract 1583.09, Suffolk County, New York","1791","30","0","12","23","24","234","77","284","108","87","50","600","114","289","95","61","43","91","47","122","64"
"1400000US36103158310","Census Tract 1583.10, Suffolk County, New York","1794","25","0","12","0","12","414","100","605","117","83","49","187","85","154","72","256","99","87","54","8","13"
"1400000US36103158315","Census Tract 1583.15, Suffolk County, New York","1706","37","0","12","0","12","52","45","324","107","345","91","851","120","65","53","61","52","8","12","0","12"
"1400000US36103158317","Census Tract 1583.17, Suffolk County, New York","2192","129","0","17","0","17","115","77","162","86","222","113","430","179","176","95","535","182","288","126","264","124"
"1400000US36103158318","Census Tract 1583.18, Suffolk County, New York","1592","28","9","16","0","12","73","44","64","44","146","69","376","109","458","91","223","91","136","67","107","69"
"1400000US36103158319","Census Tract 1583.19, Suffolk County, New York","1277","30","32","28","30","34","55","63","61","64","159","77","573","110","316","85","12","29","28","45","11","22"
"1400000US36103158320","Census Tract 1583.20, Suffolk County, New York","2444","40","50","76","0","17","106","55","464","147","417","99","1022","157","289","137","68","54","0","17","28","35"
"1400000US36103158321","Census Tract 1583.21, Suffolk County, New York","3950","58","0","19","0","19","701","222","1146","258","610","186","703","203","615","152","62","59","67","49","46","38"
"1400000US36103158322","Census Tract 1583.22, Suffolk County, New York","819","26","0","12","0","12","687","49","47","36","0","12","5","8","7","10","54","32","11","12","8","10"
"1400000US36103158323","Census Tract 1583.23, Suffolk County, New York","2294","76","50","76","42","43","544","152","292","126","382","134","607","148","159","110","158","90","0","17","60","53"
"1400000US36103158401","Census Tract 1584.01, Suffolk County, New York","487","33","9","13","0","12","23","22","114","38","58","32","159","40","55","33","47","24","0","12","22","22"
"1400000US36103158402","Census Tract 1584.02, Suffolk County, New York","1442","50","0","12","7","7","38","35","81","47","84","39","562","97","393","88","185","54","10","15","82","28"
"1400000US36103158403","Census Tract 1584.03, Suffolk County, New York","948","25","126","52","0","12","101","47","70","28","149","70","343","64","42","30","91","33","21","28","5","8"
"1400000US36103158405","Census Tract 1584.05, Suffolk County, New York","1711","24","39","30","13","21","109","51","393","83","225","81","324","98","179","64","391","111","23","26","15","22"
"1400000US36103158407","Census Tract 1584.07, Suffolk County, New York","2244","105","0","17","24","42","63","57","157","102","142","80","486","180","396","160","473","153","340","154","163","108"
"1400000US36103158408","Census Tract 1584.08, Suffolk County, New York","1592","38","0","12","24","23","86","59","119","63","226","99","145","73","189","89","500","115","92","62","211","98"
"1400000US36103158409","Census Tract 1584.09, Suffolk County, New York","1663","30","0","12","2","7","110","56","108","67","560","121","664","122","50","40","114","70","43","48","12","20"
"1400000US36103158410","Census Tract 1584.10, Suffolk County, New York","2282","33","38","39","0","12","98","62","195","61","531","110","1154","167","187","103","14","23","65","54","0","12"
"1400000US36103158502","Census Tract 1585.02, Suffolk County, New York","1720","31","8","13","30","44","191","69","342","115","121","68","410","83","200","87","312","112","42","30","64","40"
"1400000US36103158505","Census Tract 1585.05, Suffolk County, New York","1519","79","10","17","0","12","138","61","91","66","182","89","350","90","561","107","47","35","80","47","60","44"
"1400000US36103158506","Census Tract 1585.06, Suffolk County, New York","924","54","0","12","11","12","34","22","32","20","58","31","151","54","291","64","139","47","154","52","54","28"
"1400000US36103158507","Census Tract 1585.07, Suffolk County, New York","1235","24","0","12","0","12","62","62","103","60","154","80","278","102","306","91","272","103","13","14","47","41"
"1400000US36103158508","Census Tract 1585.08, Suffolk County, New York","1914","44","0","17","9","14","110","73","180","95","193","70","508","116","629","103","238","97","30","44","17","19"
"1400000US36103158509","Census Tract 1585.09, Suffolk County, New York","1795","63","39","35","0","12","10","16","184","95","147","70","457","154","516","123","158","63","121","76","163","73"
"1400000US36103158510","Census Tract 1585.10, Suffolk County, New York","2332","41","0","17","16","27","79","59","234","121","237","96","834","191","149","81","238","110","441","183","104","71"
"1400000US36103158511","Census Tract 1585.11, Suffolk County, New York","2028","40","0","17","18","21","98","78","91","60","303","98","486","115","365","92","464","109","79","43","124","71"
"1400000US36103158512","Census Tract 1585.12, Suffolk County, New York","1161","21","11","17","11","17","41","39","49","41","58","42","554","110","242","94","69","47","35","37","91","43"
"1400000US36103158604","Census Tract 1586.04, Suffolk County, New York","1630","37","13","17","0","12","14","25","39","45","158","68","394","109","473","111","394","98","45","37","100","72"
"1400000US36103158605","Census Tract 1586.05, Suffolk County, New York","1551","29","0","17","0","17","52","54","87","52","227","97","570","119","397","92","188","68","9","14","21","20"
"1400000US36103158606","Census Tract 1586.06, Suffolk County, New York","1595","69","64","74","17","19","11","17","59","45","125","59","426","93","388","85","361","91","96","57","48","31"
"1400000US36103158607","Census Tract 1586.07, Suffolk County, New York","1284","24","72","42","9","15","42","32","107","48","176","76","282","88","182","89","234","88","158","75","22","20"
"1400000US36103158608","Census Tract 1586.08, Suffolk County, New York","1288","48","23","35","0","12","21","22","43","38","103","59","233","69","187","71","385","95","103","55","190","72"
"1400000US36103158609","Census Tract 1586.09, Suffolk County, New York","1474","50","13","17","0","12","56","50","41","37","0","12","270","65","378","111","618","113","84","54","14","16"
"1400000US36103158704","Census Tract 1587.04, Suffolk County, New York","4135","89","259","181","220","152","579","213","387","186","833","228","1168","239","333","156","221","106","34","39","101","86"
"1400000US36103158705","Census Tract 1587.05, Suffolk County, New York","1225","64","0","12","9","15","293","107","305","95","109","59","295","114","113","65","25","30","28","30","48","46"
"1400000US36103158707","Census Tract 1587.07, Suffolk County, New York","598","42","0","12","0","12","83","41","76","47","24","19","78","39","84","36","89","35","88","43","76","40"
"1400000US36103158708","Census Tract 1587.08, Suffolk County, New York","1717","37","0","12","0","12","9","15","113","84","571","122","847","131","57","39","63","56","0","12","57","56"
"1400000US36103158709","Census Tract 1587.09, Suffolk County, New York","1183","91","113","61","5","10","76","54","44","37","450","86","214","66","112","52","73","40","55","42","41","36"
"1400000US36103158710","Census Tract 1587.10, Suffolk County, New York","1500","59","70","59","186","99","147","83","79","48","354","131","425","147","64","43","58","33","38","41","79","63"
"1400000US36103158711","Census Tract 1587.11, Suffolk County, New York","2394","35","127","81","108","52","460","140","78","60","315","154","1032","194","124","69","59","46","58","73","33","38"
"1400000US36103158712","Census Tract 1587.12, Suffolk County, New York","2403","42","18","30","0","17","287","169","273","156","143","133","403","158","877","200","189","126","93","72","120","112"
"1400000US36103158802","Census Tract 1588.02, Suffolk County, New York","1932","84","88","41","0","12","130","44","136","65","169","86","133","74","315","82","351","100","136","53","474","104"
"1400000US36103158803","Census Tract 1588.03, Suffolk County, New York","2147","88","0","17","0","17","522","139","509","127","271","118","593","137","102","76","55","52","13","20","82","62"
"1400000US36103158804","Census Tract 1588.04, Suffolk County, New York","2455","43","0","17","0","17","78","74","65","54","152","101","572","175","423","162","540","161","316","139","309","135"
"1400000US36103158900","Census Tract 1589, Suffolk County, New York","3674","253","223","95","141","81","286","161","127","104","349","255","929","309","428","198","401","212","157","147","633","168"
"1400000US36103159000","Census Tract 1590, Suffolk County, New York","2234","165","0","12","43","56","84","71","40","31","242","111","400","137","300","118","397","165","145","99","583","162"
"1400000US36103159102","Census Tract 1591.02, Suffolk County, New York","2839","46","0","17","55","91","334","134","310","160","486","165","517","179","400","136","217","111","39","63","481","202"
"1400000US36103159103","Census Tract 1591.03, Suffolk County, New York","1788","58","9","17","22","26","280","88","184","89","100","62","544","145","314","129","202","82","97","63","36","27"
"1400000US36103159105","Census Tract 1591.05, Suffolk County, New York","2618","52","0","17","22","36","55","84","131","109","424","154","1388","235","371","116","136","72","0","17","91","93"
"1400000US36103159106","Census Tract 1591.06, Suffolk County, New York","2103","45","0","17","12","13","677","114","404","101","202","78","667","109","44","40","57","56","32","22","8","13"
"1400000US36103159107","Census Tract 1591.07, Suffolk County, New York","1177","35","0","12","0","12","8","14","64","48","213","83","451","108","182","82","133","50","29","29","97","51"
"1400000US36103159108","Census Tract 1591.08, Suffolk County, New York","2369","66","0","17","0","17","68","62","258","120","293","124","1356","208","329","156","28","31","10","18","27","32"
"1400000US36103159201","Census Tract 1592.01, Suffolk County, New York","1084","23","0","12","0","12","27","33","29","40","26","28","71","35","53","42","507","100","144","73","227","81"
"1400000US36103159203","Census Tract 1592.03, Suffolk County, New York","2055","76","0","17","0","17","223","115","111","92","143","97","423","129","197","97","562","163","139","85","257","134"
"1400000US36103159204","Census Tract 1592.04, Suffolk County, New York","1584","51","0","12","16","26","48","41","121","63","249","84","446","116","232","103","155","83","91","59","226","76"
"1400000US36103159300","Census Tract 1593, Suffolk County, New York","1154","25","5","8","5","7","60","34","52","29","68","44","214","56","155","52","214","54","125","39","256","56"
"1400000US36103159404","Census Tract 1594.04, Suffolk County, New York","2541","128","38","42","20","36","392","183","461","164","370","155","488","141","153","89","351","153","26","41","242","121"
"1400000US36103159406","Census Tract 1594.06, Suffolk County, New York","1787","76","18","21","69","37","456","105","285","89","160","113","431","152","113","75","144","86","23","21","88","54"
"1400000US36103159407","Census Tract 1594.07, Suffolk County, New York","2079","40","0","17","6","10","291","125","215","100","392","122","589","160","229","98","243","107","101","75","13","21"
"1400000US36103159408","Census Tract 1594.08, Suffolk County, New York","1347","30","0","17","0","17","104","77","154","97","310","114","433","130","106","55","156","75","58","39","26","23"
"1400000US36103159410","Census Tract 1594.10, Suffolk County, New York","2553","108","0","17","0","17","804","172","803","194","291","116","392","129","81","82","83","76","0","17","99","87"
"1400000US36103159411","Census Tract 1594.11, Suffolk County, New York","990","32","0","12","0","12","23","21","86","52","266","59","485","88","68","47","17","17","12","14","33","35"
"1400000US36103159412","Census Tract 1594.12, Suffolk County, New York","3249","85","67","70","0","17","432","154","1171","222","598","150","602","201","128","114","80","57","73","53","98","91"
"1400000US36103159505","Census Tract 1595.05, Suffolk County, New York","2734","42","0","17","0","17","203","108","444","185","350","134","991","207","341","158","360","149","45","42","0","17"
"1400000US36103159506","Census Tract 1595.06, Suffolk County, New York","2924","79","43","24","26","44","413","186","209","119","229","125","983","234","334","149","535","173","82","90","70","86"
